4O.CV01,2025-02-15T12:46:18.500000Z,2025-02-15T12:46:21.560000Z,2.0776523055132863e-08
TX.PB26,2025-02-15T12:46:16.837000Z,2025-02-15T12:46:18.597000Z,1.2458121840474346e-07
TX.PB20,2025-02-15T12:46:17.031000Z,2025-02-15T12:46:18.731000Z,3.0496081191564257e-08
TX.PB23,2025-02-15T12:46:17.265000Z,2025-02-15T12:46:18.535000Z,8.787957478735071e-08
TX.PB24,2025-02-15T12:46:18.533000Z,2025-02-15T12:46:20.363000Z,3.06279955789391e-08
TX.PB36,2025-02-15T12:46:19.720000Z,2025-02-15T12:46:21.700000Z,8.808458956706077e-09
2025-02-15T13:09:28.601706Z,31.66392,-104.18798,9.0,1.165
TX.PB33,2025-02-15T13:09:32.125000Z,2025-02-15T13:09:35.035000Z,4.387768358597741e-08
4O.CV01,2025-02-15T13:09:32.740000Z,2025-02-15T13:09:36.075000Z,4.4736263360169565e-08
4O.SA06,2025-02-15T13:09:30.941000Z,2025-02-15T13:09:32.871000Z,5.312077634063197e-08
4O.SA02,2025-02-15T13:09:30.619000Z,2025-02-15T13:09:32.219000Z,6.663456329242278e-08
TX.PB31,2025-02-15T13:09:31.870000Z,2025-02-15T13:09:34.330000Z,1.5413769577630213e-07
TX.PB34,2025-02-15T13:09:31.510000Z,2025-02-15T13:09:33.680000Z,1.9303353167729114e-07
TX.PB26,2025-02-15T13:09:31.037000Z,2025-02-15T13:09:32.837000Z,1.2427467681628214e-07
TX.PB39,2025-02-15T13:09:31.435000Z,2025-02-15T13:09:33.525000Z,1.0987703324680988e-07
4O.SA04,2025-02-15T13:09:31.247000Z,2025-02-15T13:09:33.147000Z,1.9068770257238817e-08
TX.PB23,2025-02-15T13:09:31.005000Z,2025-02-15T13:09:32.695000Z,1.3263759627622966e-07
TX.PB20,2025-02-15T13:09:31.271000Z,2025-02-15T13:09:32.671000Z,9.083716454454731e-08
TX.PB24,2025-02-15T13:09:32.643000Z,2025-02-15T13:09:34.173000Z,6.140689486506317e-08
2025-02-15T11:24:55.325118Z,31.67892,-104.19798,7.0,0.8191
TX.PB31,2025-02-15T11:24:58.480000Z,2025-02-15T11:25:00.990000Z,5.679894000549358e-08
TX.PB34,2025-02-15T11:24:58.170000Z,2025-02-15T11:25:00.370000Z,4.979306213154071e-08
4O.SA02,2025-02-15T11:24:56.989000Z,2025-02-15T11:24:58.299000Z,6.452771205236235e-08
TX.PB39,2025-02-15T11:24:57.970000Z,2025-02-15T11:25:00.000000Z,6.237984950400888e-08
TX.PB26,2025-02-15T11:24:57.737000Z,2025-02-15T11:24:59.537000Z,5.064464657198805e-08
TX.PB20,2025-02-15T11:24:58.031000Z,2025-02-15T11:25:00.031000Z,1.70512047283365e-08
TX.PB23,2025-02-15T11:24:57.745000Z,2025-02-15T11:24:59.415000Z,3.760229156076867e-08
TX.PECS,2025-02-15T11:25:03.425000Z,2025-02-15T11:25:09.130000Z,4.9165489780109226e-09
4O.SA06,2025-02-15T11:24:57.451000Z,2025-02-15T11:24:58.711000Z,5.1378040391400754e-08
4O.SA04,2025-02-15T11:24:57.747000Z,2025-02-15T11:24:59.087000Z,2.5949325068782457e-08
TX.PB36,2025-02-15T11:25:00.090000Z,2025-02-15T11:25:02.400000Z,5.674016619818122e-09
2025-02-15T13:59:11.995000Z,31.64892,-104.18798,10.0,1.3146
TX.PB20,2025-02-15T13:59:14.381000Z,2025-02-15T13:59:16.621000Z,1.213998561930136e-07
TX.PB31,2025-02-15T13:59:15.490000Z,2025-02-15T13:59:18.260000Z,1.0677502964071956e-07
TX.PB24,2025-02-15T13:59:15.303000Z,2025-02-15T13:59:17.803000Z,1.0952294572967013e-07
4O.WB04,2025-02-15T13:59:16.846500Z,2025-02-15T13:59:20.486500Z,7.548008724997762e-08
TX.PECS,2025-02-15T13:59:19.580000Z,2025-02-15T13:59:25.220000Z,1.6517997777130218e-08
4O.CV01,2025-02-15T13:59:16.480000Z,2025-02-15T13:59:19.795000Z,3.863026100155515e-08
TX.PB23,2025-02-15T13:59:14.495000Z,2025-02-15T13:59:16.325000Z,1.6220976789504478e-07
TX.PB38,2025-02-15T13:59:16.500000Z,2025-02-15T13:59:19.400000Z,1.8266079079740428e-08
TX.PB35,2025-02-15T13:59:16.320000Z,2025-02-15T13:59:18.910000Z,3.250600229079026e-08
4O.SA06,2025-02-15T13:59:14.771000Z,2025-02-15T13:59:16.171000Z,4.0035785504961783e-07
TX.VHRN,2025-02-15T13:59:32.525000Z,2025-02-15T13:59:46.775000Z,2.3089471014901802e-09
2025-02-15T12:08:15.811765Z,31.69892,-104.19298,4.0,0.8247
TX.PB23,2025-02-15T12:08:17.625000Z,2025-02-15T12:08:19.965000Z,4.435423083804889e-08
